,Document ID,cleaned_txt,Sentiment
0,0,reference rating movie despicable star despicable star minion star despicable starsi pleasantly surprised best one since original fire cylinder comedy story visuals action scene start fast never let movie fly ton great new charactersthis movie absolutely hilarious literally tear scene minion best many memorable moment story surprisingly unpredictable keep invested visuals stunningly beautiful mesmerized action scene pretty epic best entire seriesi blast movie definitely worth seeing premium screen greatly enhancing visuals action scenesp im sure whats sarcastic star review assure one viewing opening thursday imax imax,Positive
1,1,going watch future best animated picture winner minionsrise gru high hope however expected experience story crisp emotional animation though fake felt realer everi say exaggerationit better morbius morbin timemore like minion time,Positive
2,2,minion rise gru follows year old gru voiced steve carrell trying make name join rank elite villians group vicious humble beginning troublemaker mother basement minion voiced pierre coffin determined help succeed missionthe film sort origin story gru despite elusion childhood st rd movie wacky wonderful minion carry film sadly plot seems haphazard henchman jeanclawed voice jeanclaude van damme svengeance voiced dolph lundgren stronghold voiced danny trejo seem secondstring compared belle bottom voiced taraji p henson wild knuckle voiced alan arkin animation fairly standard earlier movie flow solid film ending kind make sense plot general bit hodgepodgeworth watch kid,Negative
3,3,im sure movie doesnt higher rating found really enjoyable much better first outinglets start negative say arent many first head female villain little annoying also could little bit emotion appreciate humour even thing nitpicky though part great funlets take comedy animation aimed mostly kid animated well yes one clearest colourful animation think ever seen funny yes fact funny laughed many time throughout proving dont eve use proper word funny mr bean prime example minion lastly kid get bored absolutely story although limited payout move along great pace movie felt really short minion consistently funny kid never get tired actually neither big kid adultsfinally still maintain nothing cuter world bob pleading face like puppy xa last though want keep franchise alive though think need move onto short stop becoming repetitive boring,Negative
4,4,fun movie minion scene gru thankfully chemistry minion character epic love kevin bob stuartthere deep meaning higher message simple carefree movie supposed seen way,Positive
5,5,movie many reference sixty seventy dont think people twenty understand pun innuendo joke child theater still laugh slapstick joke,Positive
6,6,world gru powerful villain anyone ever seen question become dominant force minion rise gru show u exciting story year old gru path villainous life familiar face new character come together make make film highly entertaining yet nostalgicminions rise gru provides backstory gru steve carell came notorious villain today rejected replacement wild knuckle alan arkin failing earn muchcoveted spot supervillain group vicious gru unexpectedly find run fate would grus dream mentored wild knuckle soon come true without gru lean wild knuckle minion fight back vicious three main minionskevin stuart bobeach unique character trait make film work minion rise gru see minion play different role gru grows villain person kevin smart responsible leaderhe make sure everything going according plan stuart one always touch reality make sure truth knownhe may seem uninterested he helpful bob lighthearted innocent soul always try make best situation without three character movie wouldnt many subtle reference previous movie add comedic tone well instance scene gru wild knuckle attempt rob bank bank president show image grandson turn none aspiring villain vector course young gru isnt aware vector play big role future audience definitely subtle reference contribute nostalgic feel get watching film course cant forget grus iconic wardrobe he already wearing young kidthe message minion rise gru everyone need little help sometimes even though doesnt realize right away gru eventually recognizes need help order successful villain desire beminions rise gru fun movie watch lovable character make audience continue yearn give star recommend age though anyone enjoy movie minion rise gru release theater july make sure check maica n kid first,Positive
7,7,may feel total like franchise running steam least fresh creative idea minion rise gru manage decently entertaining charming enough worth least one time watch lot people critic included bash film minion lack true plot among many thing personal opinion actually enjoyed first minion movie may even find better one although film flawed minion clear although frantic vision set mind t character never felt like combination two completely different film like one film make worth watching well animation one absolutely fantastic gorgeous visuals easily best ever come illumination company entire run kid gru also fun charming lead ill darned minion silly gag didnt charm time time even earn chuckle two airplane scene plot truly place much like first film focus character feel divided well focus future character come franchise considering reminding audience prequel case vibe wouldnt tell otherwise dont know entertaining moment found fun uneven little flick use colorful visuals fun character make decent enough pleasant experience certainly trump third despicable film latest franchise release one almost year ago hard believe franchise still going still manages propel forward age commercialization franchise minion rise gru tolerable mostmy rating,Positive
8,8,latest illumination studio another adventure actually prequel time follow gru still voiced steve carrell try get door join vicious six voiced alan arkin taraji p henson jean claude van damme lucy lawless danny trejo dolph lundrgren betrayed arkin sacred stone heist dismissing young distracted another potential tryout gru manages steal stone sending baddie tail due one accompanying minion trading stone pet rock race get rock back vicious six really five point get collective mitt sure film threadbare plotwise excuse bunch minion antic running throughout story like sock laundry line film nothing fun unlike shrek film acted alternative pixar output least illumination team keep pushing envelope perfecting visuals standouts include texture minion goggles grus realistic expression he upset challenged returning champ franchise include julie andrew grus mom russell brand mr nefario he doc yet wmichelle yeoh kung fu master minion get lesson rza biker give minion much needed ride san francisco,Negative
9,9,reason rise gru feel like let lack creativity there enough minion there enough young gru either thats say isnt movie family young child fun watching compared movie predecessor despicable movie far rise gru probably flattest themdirected kyle balda story written cothought matthew fogel minion movie brings back steve carrell voice childversion superbadsuperdad gru pierre coffin minion setting behind despicable movie despicable fan appreciate original movie film offer delightful set hilarious reference joke thatll whole family laughing typical requirement animated movie voice animation thing work well moviehowever despicable prequel titled minion rise gru film sure lack fair amount time laugh minion child gru doesnt enough story motive behind keep u fully appealed story film also follows predictable despicable basis protagonist working life there threat villain movie group villain may funny theyre completely unoriginal leading plot quite blandif liked review check full review review aussieboyreviews,Positive
10,10,loved whole time time get bored full wellmade action really funny stuff minion truly lovely,Positive
11,11,join gru minion sequel thats actually better first fun kid teen adult senior let make film gross trillion freaking box office yall,Positive
12,12,minion rise gruwhat disappointment quite frankly bored start finishyet script writer failed glean original movie magical element made franchise success clearly strength story brilliant inventive animation well drawn memorable character story tissue thin grus family missing little reason thing happen animation largely uninventive repetition earlier movieswhat key original movie strong relationship tie character best casual acquaintance movienobody liked except child seem mesmerised minion clearly easily pleasedfor outta barely screensaver,Negative
13,13,trolling aside movie average average far kid movie go animation top notch point minion pretty much joke every movie know expect there nothing new kid love parent probably still hate although might bring couple chuckle sly adult joke animation carry film,Negative
14,14,far best movie year id say even competes godfather amazing cinematography dialogue minion gru fantastic movie emotional roller coaster genius directing must watch movie generation highly recommend,Positive
15,15,kid want like kid go see movie better yet take matinee show kidsthis movie everythingfrom start end loved movieand yes kid loved toomake sure take popcorn youwhat want grow upi want super villain,Positive
16,16,likesthe reference youve read review youll know im sucker easter egg reference genre hollywood second installment minion delight avenue loaded nod various movie scene made famous opening scene revisit indiana jones temple run kung fu movie made s much fun reference movie goer like enjoys enjoyable see dynamic unfold loved taking trip back twisted memory video watched kid found part adult like way open audience past target agethe voice acting part fun animated feature voice actor make carton cgi model come life add emotion minion rise gru loaded talent pulling wide variety voice lead fun character new voice little one impersonate vicious collective bunch baddie stellar talent form iconic actor seem background voice like dolph lundgren danny trejo lucy lawless voice hear though prominent still great place film others like taraji p henson michelle yeoh bigger role get sas factor love character goofy world character reviving part like russell brand julie andrew though short sweet well yet main voice top billed cast work real charm movie arkin white knuckle pretty much playing live action role animated form work joke threat warming moment feel genuine caustic like old age joke often butt pierre coffin still energetic hyper voice various yellow blob minion though sound much coffin manages really work personality four main guy stand work physical persona wear well subtle thing audience member like appreciate effort make stand bit carrell rock gru voice invented well time change pitch sound like kid version gru saw original yet time charm emotion seen worked well craft evil villain formative year explain much acting stacked well executed quite enjoyed well played togetherthe pace kid movie expect movie going quick paced standing still much however rise gru manages still harness speed tone give moment allow character development training without blowing completely true movie quite balance natural layout despicable sequel prequel balance quite welcome perfectly fit component put moviethe music gru legacy chock full music various decade fan dive matter age currently prequel trend continues orchestra work present help emotional moment track put favorite tap toe grus gang plenty decade classic song need fill void brought minion cover giving comedic edge filmthe animationdesign get level main strength film illumination may groundbreaking term animation design certainly accomplish fluid movement loveable kid friendly structure fell love year ago grus adventure still whacky extreme feature share still utilized well make caricature design love helping incorporate cultural move work well martial art montage show keep putting new feature design work well make adventure enjoyablethe balance somewhat minion lot thing juggle three plot line leap make adventure whole worked part least two story working youll get plenty screen time classic three grus adventure work ultimate goal ultimate villain era gimmick cute story feel grossly different yet connect like ionic bond make something stronger plot line attempting incorporate new character little heartwarming primarily comedic antic end way shape form form toy nevertheless many plot line well get adequate time kept thing dynamic funthe comedy laughed lot film balance adult humor kid humor tickling funny bone lot vied find place writing rise gru may quite clever cultured despicable movie long ago still plenty pizazz welltimed moment get busting hardy chuckle guffaw slapstick comedy physical humor pronunciation word clever line nice mix run time always keeping atmosphere energy film checkthe fun overall though lot fun film managed find better several entry film grus childhood lot quirk overall lot heart adventurous energy made going movie fun another group showing seemed agree comedic moment minion squeak fill theater laughter delight many politics getting lost cultural relevance film seem want explore going deep surreal complicate matter film another enjoyable venture help take break harsh reality todaydislikespredictable plot trailer lot movie surprise predictable mess bit boring know expected something like disney proven pull twist u count shock u core minion rise gru could tried add kink mix might helped add little bit adventure first one long agomore balance needed character know utilizing character well going include rise gru okay job handful character cant help feel many new contender mix say crucial plot main antagonist unimpressive certainly could paired sent mission help give dimension stereotype served meanwhile brand andrew character scarce maximizing time really leg race like hoped would even new minion quite shine like original trio meaning pretty much toy running boy shamecould used little heartwarming moment first two movie touching moment really dug heart pulled family card enjoy however minion trying quite awwwww moment might looking dont get wrong still cute moment trade get joke hint something deeper happening yet film balance towards character side quite come clean previous installmentssort disconnected time finally movie feel quite linear connected film past whether due delay fear much story sequelprequel moment feel like something dropped edited get end game faster subtle time something missing feel like director cut needed home releasethe verdict claim movie funniest year least partially true minion rise gru far spectacle come expect bright animation lot music reference great guy like great voice acting make come life sure predictability issue character inclusionbalance perfect leading disconnected feeling first two movie better yet movie still super fun accomplishes task political movie lose hour said done movie get thumb theater watching score areanimationadventurecomedy movie overall,Positive
17,17,nothing impressive new te scene look contrived learning kungfu scene utter waste time slapstick even kid hope better storyline next time,Negative
18,18,pretty excited one seeing trailer disappointing kid went also original minion movie ok fun standard movie pretty lowit looked great story character felt boring flat joke ok mostly flat well felt bit place didnt click u could done much better movie disappointing,Negative
19,19,take late guy watching fault however set remember tiny bit anachronism plenty said return little yellow pilled gibberish spewingthings watch despicable year ago cant fully remember one gru attempting join super villain coalition coming chinese new year jade amulet hold answer entry world villainy desperately want accepted fellow baddie cool cameo voice jean claude van damme julie andrew dolph lundgren however much audio processing may well anyonethis mediocre tired trope minion rambling language portuguese french hard say cute moment dont save movie seems sotemplate builtthe noise butt joke amusing kid reference placate gen xers,Negative
20,20,ive waiting since despicable maker minion make another good movie franchise seeing minion rise gru think ill keep waiting movie isnt trashy terrible last movie minion anything special always slight issue movie aspiring villain protagonist challenge hard cheer young gru become evil im even sure logic villain even work seems like minute gru get better vicious would consider great villain yet instead form vendetta never work living opposite world bad good good bad particularly loveable funloving minion there lack consistency even get chuckle dont think best kind storytellingi still think minion better smaller dos long sequence minion learning kung fu cute minute start get tedious go also struggle every single time watch prequel dont understand hollywood fascination making like prequel make point shining spotlight thing original movie oh look dr nefario bank manager guy know good storytelling fails purpose people arent overly familiar first film lot negativity review want make clear didnt hate seeing movie minion rise gru good laugh particularly big climax dont hate minion much people wanted enjoy much liked despicable even despicable underwhelming considering franchise gone least little enjoyable,Negative
21,21,last minion movie despicable thought adorable critter stayed long party sequel dropoff trending reaching low enough mercy killing saw another round coming prequel grus origin story entered theater trepidation surprise one may funniest series new writer apparently trick well matthew fogel new franchise brian lynch returning penning relatively amusing minion give u gru age aspiring supervillain already variably helped plagued little yellow pal get chance join quintet megavillain hero vacancy theyd created ousting sixth member open selection replacement shun he kid inspiring turn table prove worth plot borrows indiana jones legacy slip homage kung fu flick many popculture figure theme set mostly san franciscothe movie youve seen live action animated youll find enjoy example one evildoer huge crablike right arm named jeanclawed mr van damme actually provides voice steve carrell return gru assisted like michelle yeoh lucy liu alan arkin danny trejo juliefreakin andrew thats establishing cast pedigree script serf dutifullybesides job packing lot laugh dialog rapidfire action goody savor background ala simpson art design firstrate wealth color character tickle viewer age animation corp ever used san francisco better advantage making city bay area look gorgeous especially chinatown one rare film worth seeing twice since much going quickly im sure missed number gag dont drop kid theater one join,Positive
22,22,always impressed previous minion movie depth intelligence reference jokesthis one doesnt seem clever minion adorable always many old gag recycled slap laugh fart get covered muck got itone challenge gru portrayed throughout kid previous movie think grus weariness adult world challenge added layer missing herei amused reread credit pretty heavyduty voice actor many get one line arnett steve coogan russell brand promoted prominently maybe five line whole filmthe kid love worse way spend afternoon didnt ring meps intrigued worst possible way review least dozen proclaiming best film time lifechanger saved marriage stupid internet troll joke pr department studio trying boost average review score hmm,Negative
